timestamp,gpu,util,mem_used,mem_total,power
2026-08-02T18:53:39+09:00,1, 0, 5293, 49140, 106.43
2026-08-02T18:54:09+09:00,0, 0, 11414, 49140, 111.19
2026-08-02T18:54:09+09:00,1, 0, 5293, 49140, 92.15
2026-08-02T18:54:39+09:00,0, 0, 11414, 49140, 98.35
2026-08-02T18:54:39+09:00,1, 0, 5293, 49140, 104.08
2026-08-02T18:55:09+09:00,0, 0, 11414, 49140, 217.81
2026-08-02T18:55:09+09:00,1, 0, 5293, 49140, 43.15
2026-08-02T18:55:39+09:00,0, 0, 11414, 49140, 142.32
2026-08-02T18:55:39+09:00,1, 0, 5293, 49140, 146.94
2026-08-02T18:56:09+09:00,0, 0, 11414, 49140, 84.00
2026-08-02T18:56:09+09:00,1, 0, 5293, 49140, 88.64
2026-08-02T18:56:39+09:00,0, 0, 11414, 49140, 130.42
2026-08-02T18:56:39+09:00,1, 0, 5293, 49140, 131.27
2026-08-02T18:57:09+09:00,0, 72, 11414, 49140, 153.84
2026-08-02T18:57:09+09:00,1, 76, 5293, 49140, 176.59
2026-08-02T18:57:39+09:00,0, 100, 11414, 49140, 198.73
2026-08-02T18:57:39+09:00,1, 100, 5293, 49140, 199.97
2026-08-02T18:58:09+09:00,0, 0, 11414, 49140, 84.33
2026-08-02T18:58:09+09:00,1, 0, 5293, 49140, 39.53
2026-08-02T18:58:39+09:00,0, 0, 11414, 49140, 125.31
2026-08-02T18:58:39+09:00,1, 0, 5293, 49140, 128.87
2026-08-02T18:59:10+09:00,0, 0, 11414, 49140, 103.77
2026-08-02T18:59:10+09:00,1, 100, 5293, 49140, 137.23
2026-08-02T18:59:40+09:00,0, 0, 11414, 49140, 114.27
2026-08-02T18:59:40+09:00,1, 100, 5293, 49140, 121.90
2026-08-02T19:00:10+09:00,0, 88, 11414, 49140, 104.86
2026-08-02T19:00:10+09:00,1, 100, 5293, 49140, 133.58
2026-08-02T19:00:40+09:00,0, 0, 11414, 49140, 230.53
2026-08-02T19:00:40+09:00,1, 0, 5293, 49140, 84.37
2026-08-02T19:01:10+09:00,0, 0, 11414, 49140, 82.66
2026-08-02T19:01:10+09:00,1, 100, 5293, 49140, 119.74
2026-08-02T19:01:40+09:00,0, 100, 11414, 49140, 226.22
2026-08-02T19:01:40+09:00,1, 100, 5293, 49140, 235.66
2026-08-02T19:02:10+09:00,0, 65, 11414, 49140, 229.66
2026-08-02T19:02:10+09:00,1, 97, 5293, 49140, 234.55
2026-08-02T19:02:40+09:00,0, 0, 11414, 49140, 208.23
2026-08-02T19:02:40+09:00,1, 0, 5293, 49140, 212.53
2026-08-02T19:03:10+09:00,0, 0, 11414, 49140, 186.96
2026-08-02T19:03:10+09:00,1, 0, 5293, 49140, 172.12
2026-08-02T19:03:40+09:00,0, 100, 11414, 49140, 215.79
2026-08-02T19:03:40+09:00,1, 0, 5293, 49140, 82.17
2026-08-02T19:04:10+09:00,0, 0, 11414, 49140, 196.82
2026-08-02T19:04:10+09:00,1, 8, 5293, 49140, 177.19
2026-08-02T19:04:40+09:00,0, 0, 11414, 49140, 112.91
2026-08-02T19:04:40+09:00,1, 0, 5293, 49140, 110.67
2026-08-02T19:05:10+09:00,0, 0, 11414, 49140, 85.34
2026-08-02T19:05:10+09:00,1, 0, 5293, 49140, 88.32
2026-08-02T19:05:40+09:00,0, 0, 11414, 49140, 99.66
2026-08-02T19:05:40+09:00,1, 81, 5293, 49140, 102.72
2026-08-02T19:06:10+09:00,0, 0, 11414, 49140, 113.80
2026-08-02T19:06:10+09:00,1, 100, 5293, 49140, 119.14
2026-08-02T19:06:40+09:00,0, 0, 11414, 49140, 194.24
2026-08-02T19:06:40+09:00,1, 0, 5293, 49140, 40.27
2026-08-02T19:07:10+09:00,0, 83, 11414, 49140, 121.11
2026-08-02T19:07:10+09:00,1, 95, 5293, 49140, 146.32
2026-08-02T19:07:40+09:00,0, 100, 11414, 49140, 164.03
2026-08-02T19:07:40+09:00,1, 100, 5293, 49140, 174.85
2026-08-02T19:08:10+09:00,0, 100, 11414, 49140, 195.31
2026-08-02T19:08:10+09:00,1, 100, 5293, 49140, 213.21
2026-08-02T19:08:40+09:00,0, 98, 11414, 49140, 230.98
