#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    15:14:18       0    128     78      -    100     46      0      0      0      0   9501    930     31      0   5992      9      0      -      -      0   5385      0 
 20260803    15:14:18       1    226     78      -    100     39      0      0      0      0   9501   1200     24      0   5297      7      0      -      -      0      0      0 
 20260803    15:14:48       0    229     74      -     65     13      0      0      0      0   9501   2505     42      0   5992      9      0      -      -      0      0      0 
 20260803    15:14:48       1    228     81      -    100     42      0      0      0      0   9501   1560     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:15:18       0    229     76      -     98     34      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:15:18       1    225     84      -    100     44      0      0      0      0   9501    975     41      0   5297      7      0      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260803    15:15:48       0    231     74      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:15:48       1    237     80      -     68     11      0      0      0      0   9501   2505     42      0   5297      7      0      -      -      0      0      0 
 20260803    15:16:18       0     87     73      -     63     20      0      0      0      0   9501   2505     39      0   5992      9      0      -      -      0      4      1 
 20260803    15:16:18       1     83     76      -      0      0      0      0      0      0   9501   2505     30      0   5297      7      0      -      -      0      0      0 
 20260803    15:16:48       0     81     71      -      0      0      0      0      0      0   9501   2505     34      0   5992      9      0      -      -      0      0      0 
 20260803    15:16:48       1    115     71      -      0      0      0      0      0      0   9501   2730      0      0   5297      7      0      -      -      0      0      0 
 20260803    15:17:19       0    168     78      -    100     46      0      0      0      0   9501    885     38      0   5992      9      0      -      -      0      0      0 
 20260803    15:17:19       1    234     76      -      1      1      0      0      0      0   9501   2640     40      0   5297      7      0      -      -      0      0      0 
 20260803    15:17:49       0    229     74      -      0      0      0      0      0      0   9501   2505     41      0   5992      9      0      -      -      0      0      0 
 20260803    15:17:49       1    249     79      -     31      4      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:18:19       0    230     74      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:18:19       1    237     82      -     52      8      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:18:49       0    244     74      -     37      8      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:18:49       1    237     81      -     98     25      0      0      0      0   9501   1815     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:19:19       0    107     73      -      0      0      0      0      0      0   9501   2505     39      0   5992      9      0      -      -      0      3      1 
 20260803    15:19:19       1     49     73      -      0      0      0      0      0      0    405    225     14      0   5297      7      0      -      -      0      0      0 
 20260803    15:19:49       0    152     78      -    100     45      0      0      0      0   9501    915     32      0   5992      9      0      -      -      0      0      0 
 20260803    15:19:49       1    229     74      -     66      4      0      0      0      0   9501   2730     14      0   5297      7      0      -      -      0      0      0 
 20260803    15:20:19       0    162     78      -    100     46      0      0      0      0   9501    945     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:20:19       1    232     78      -     98     23      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      0      0 
 20260803    15:20:49       0    230     74      -      0      0      0      0      0      0   9501   2505     41      0   5992      9      0      -      -      0      0      0 
 20260803    15:20:49       1    236     80      -    100     36      0      0      0      0   9501   2280     40      0   5297      7      0      -      -      0      0      0 
 20260803    15:21:19       0    231     74      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:21:19       1    236     80      -     87     12      0      0      0      0   9501   2610     42      0   5297      7      0      -      -      0      0      0 
 20260803    15:21:49       0    113     73      -      0      0      0      0      0      0   9501   2505     39      0   5992      9      0      -      -      0      3      1 
 20260803    15:21:49       1    133     78      -      0      0      0      0      0      0   9501   2505     40      0   5297      7      0      -      -      0      0      0 
 20260803    15:22:19       0     90     78      -     27     10      0      0      0      0   9501   1215     40      0   5992      9      0      -      -      0      3      1 
 20260803    15:22:19       1     38     70      -      0      0      0      0      0      0    405    210      0      0   5297      7      0      -      -      0      0      0 
 20260803    15:22:50       0    227     76      -    100     38      0      0      0      0   9501   2280     33      0   5992      9      0      -      -      0      0      0 
 20260803    15:22:50       1    213     75      -      0      0      0      0      0      0   9501   2715     30      0   5297      7      0      -      -      0      0      0 
 20260803    15:23:20       0    218     73      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:23:20       1    238     77      -      0      0      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:23:50       0    231     74      -      0      0      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:23:50       1    237     79      -      8      3      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:24:20       0    243     74      -      7      4      0      0      0      0   9501   2505     40      0   5992      9      0      -      -      0      0      0 
 20260803    15:24:20       1    238     80      -     78     13      0      0      0      0   9501   2505     41      0   5297      7      0      -      -      0      0      0 
 20260803    15:24:50       0     93     73      -      0      0      0      0      0      0   9501   2505     39      0   5992      9      0      -      -      0      3      1 
 20260803    15:24:50       1     83     75      -      0      0      0      0      0      0   9501   2505     25      0   5297      7      0      -      -      0      0      0 
 20260803    15:25:20       0    158     78      -    100     45      0      0      0      0   9501    990     32      0   5992      9      0      -      -      0    285      0 
